ID Caso,Fecha de Audiencia,Tipo de Audiencia,Lugar
1,2025-03-18,Intermedia,Barcelona
2,2023-07-14,Juicio,Ávila
3,2024-05-09,Intermedia,Baleares
4,2026-03-03,Preliminar,Ávila
5,2023-06-03,Intermedia,Burgos
6,2025-05-24,Intermedia,Tarragona
7,2023-12-20,Intermedia,Murcia
8,2021-01-14,Juicio,Ourense
9,2025-01-06,Intermedia,Vizcaya
10,2025-08-28,Preliminar,Guipúzcoa
11,2023-01-17,Juicio,Álava
12,2026-03-16,Preliminar,Madrid
13,2025-09-14,Preliminar,Asturias
14,2024-10-08,Intermedia,Albacete
15,2026-04-03,Preliminar,Tarragona
16,2025-04-02,Intermedia,Almería
17,2024-06-15,Intermedia,León
18,2021-02-11,Intermedia,Burgos
19,2024-06-30,Intermedia,Soria
20,2024-02-01,Intermedia,Sevilla
21,2024-08-25,Intermedia,Zaragoza
22,2024-08-04,Intermedia,Sevilla
23,2022-10-04,Juicio,Burgos
24,2023-03-15,Juicio,Alicante
25,2021-11-19,Juicio,Tarragona
26,2026-02-23,Preliminar,Lugo
27,2023-06-16,Juicio,Burgos
28,2025-12-21,Preliminar,Almería
29,2026-02-18,Preliminar,Madrid
30,2025-06-25,Preliminar,Cádiz
31,2025-03-12,Intermedia,Ceuta
32,2025-07-30,Preliminar,Huesca
33,2024-11-15,Intermedia,León
34,2025-05-30,Preliminar,Soria
35,2024-12-22,Intermedia,La Coruña
36,2024-06-21,Juicio,Zaragoza
37,2024-03-01,Intermedia,Huesca
38,2022-06-25,Intermedia,Cádiz
39,2022-04-20,Juicio,Sevilla
40,2023-01-10,Intermedia,Barcelona
41,2022-08-31,Intermedia,Teruel
42,2023-08-22,Juicio,Las Palmas
43,2026-04-30,Preliminar,Baleares
44,2023-07-09,Intermedia,Soria
45,2024-11-09,Juicio,Santa Cruz de Tenerife
46,2022-04-02,Juicio,Pontevedra
47,2025-03-04,Intermedia,Santa Cruz de Tenerife
48,2025-07-25,Preliminar,Valencia
49,2024-04-30,Juicio,Salamanca
50,2026-01-27,Preliminar,Cantabria
51,2026-02-27,Preliminar,Ciudad
52,2023-11-05,Intermedia,Ciudad
53,2023-01-25,Juicio,Cantabria
54,2021-08-13,Juicio,Huelva
55,2025-04-21,Intermedia,Toledo
56,2023-05-12,Intermedia,Barcelona
57,2022-09-07,Intermedia,Valencia
58,2024-03-27,Juicio,La Rioja
59,2022-12-30,Juicio,Asturias
60,2026-03-03,Preliminar,Navarra
61,2024-06-14,Juicio,Álava
62,2022-10-28,Juicio,Zaragoza
63,2023-10-18,Juicio,Segovia
64,2026-01-21,Preliminar,Toledo
65,2024-03-31,Juicio,Lleida
66,2025-08-13,Preliminar,León
67,2024-08-22,Intermedia,Madrid
68,2023-11-19,Juicio,Murcia
69,2025-08-09,Preliminar,Burgos
70,2022-06-16,Juicio,Salamanca
71,2024-04-10,Juicio,Ourense
72,2026-02-25,Preliminar,Jaén
73,2024-11-11,Intermedia,Huelva
74,2021-12-13,Juicio,Madrid
75,2026-03-23,Preliminar,Badajoz
76,2024-12-31,Intermedia,Badajoz
77,2022-05-04,Juicio,Pontevedra
78,2025-10-03,Preliminar,Navarra
