ID Caso,ID Cliente,ID Abogado,Descripción,Estado,Fecha de Inicio,Fecha de Resolución,Rama Legal,Resultado,Tipo de Caso
1,929,45,Eius ut inventore rerum modi harum a.,En proceso,2021-01-18,2024-07-05,Notarial y Registral,Pendiente,Registro de propiedad
2,775,6,Inventore consequatur quae praesentium nihil.,Cerrado,2023-05-14,2024-11-28,Civil,Ganado,Incumplimiento de contrato
3,1071,2,Voluptatem officiis mollitia atque.,En proceso,2021-05-18,2023-04-07,Penal,Pendiente,Narcotráfico
4,198,27,Quasi aspernatur praesentium atque quam necessitatibus sed.,Abierto,2023-03-08,2023-05-17,Internacional Público,Pendiente,Tratado internacional
5,1089,36,Delectus repellat non.,En proceso,2023-03-12,2023-09-09,Procesal,Pendiente,Recurso de apelación
6,267,8,Doloremque vitae nihil quas.,En proceso,2023-04-12,2023-06-12,Civil,Pendiente,Arrendamientos
7,884,54,Occaecati eius officia incidunt fugiat non excepturi minima.,En proceso,2022-07-30,2022-09-26,Informático,Pendiente,Suplantación digital
8,1086,21,Dicta culpa voluptatibus ipsum cumque.,Cerrado,2020-10-17,2024-07-01,Constitucional,Ganado,Violación de derechos fundamentales
9,718,48,Eos officiis deleniti cumque amet quia in.,En proceso,2021-01-11,2023-01-24,Seguridad Social,Pendiente,Reintegro de prestaciones
10,872,48,Ipsam impedit pariatur optio laudantium quo fuga.,Abierto,2020-12-10,2024-02-23,Seguridad Social,Pendiente,Cotización incorrecta
11,172,28,Culpa veniam tenetur enim placeat.,Cerrado,2022-12-18,2024-06-03,Internacional Privado,Acuerdo,Adopción internacional
12,388,27,Est eius provident.,Abierto,2023-11-10,2024-09-21,Internacional Público,Pendiente,Conflictos fronterizos
13,1071,44,Sunt debitis atque harum.,Abierto,2022-10-18,2025-05-11,Notarial y Registral,Pendiente,Registro de propiedad
14,421,4,Necessitatibus porro quidem minus alias esse.,En proceso,2024-03-20,2024-10-09,Penal,Pendiente,Delitos informáticos
15,742,21,Quos recusandae odio molestias saepe voluptate.,Abierto,2020-07-11,2020-07-14,Constitucional,Pendiente,Acción de tutela
16,536,27,Officiis cum exercitationem corrupti.,En proceso,2024-03-31,2024-12-30,Internacional Público,Pendiente,Tratado internacional
17,565,38,Corrupti necessitatibus beatae nostrum mollitia.,En proceso,2024-02-14,2024-12-06,Procesal,Pendiente,Competencia jurisdiccional
