ID Caso,Tipo de Documento,Fecha de Emisión,Resumen
1,Resolución,2024-01-02,Corporis eos eius inventore dolores officia cupiditate.
2,Escrito de defensa,2024-08-25,Similique suscipit ut alias.
3,Resolución,2022-08-01,"Laudantium adipisci nostrum placeat distinctio iste tenetur.
Necessitatibus nam labore saepe."
4,Prueba,2023-03-20,Qui quas atque dolores sequi est. Explicabo soluta nulla rem incidunt nulla magni.
5,Demanda,2023-07-23,Sed tempore deleniti doloribus quidem dolores. Aspernatur doloribus ipsum illo.
6,Prueba,2023-04-20,Dolor a voluptatibus consectetur eum a. Natus voluptas odit commodi doloremque.
7,Escrito de defensa,2022-08-30,Perspiciatis unde debitis. Qui molestias amet debitis. Repellendus neque tempore minima.
8,Prueba,2024-02-14,Iure molestiae adipisci vitae a suscipit. A asperiores voluptatum ad commodi earum fugiat.
9,Escrito de defensa,2021-04-26,Ab debitis ab laborum.
10,Prueba,2023-10-17,"Odit ab est vel.
Dicta quasi ipsam. Repellat eum voluptatibus ipsum."
11,Resolución,2023-03-28,Velit cumque praesentium laudantium. Nihil temporibus consequatur ea accusamus sint.
12,Escrito de defensa,2024-01-04,Ratione soluta esse ea adipisci animi ipsum minima.
13,Resolución,2023-02-27,Iste odio nulla saepe tenetur. Qui fuga eveniet occaecati odio.
14,Resolución,2024-06-02,Quisquam inventore officia molestias impedit consequatur a.
15,Escrito de defensa,2020-07-13,Dolores vitae velit ex cum cupiditate recusandae. Ipsa culpa quisquam praesentium optio.
16,Resolución,2024-04-17,Animi pariatur veritatis corrupti aliquid in. Similique soluta iusto.
17,Demanda,2024-05-30,Quisquam commodi voluptatem deleniti voluptatum quaerat amet.
18,Resolución,2023-07-09,Necessitatibus quaerat perferendis laudantium. Dolores nobis consequuntur reiciendis.
19,Resolución,2024-05-19,Suscipit sunt beatae. Impedit animi iure dolore vitae voluptatum aperiam.
20,Resolución,2023-09-21,Ullam ratione excepturi officia quod.
21,Escrito de defensa,2024-04-15,Veritatis quasi reprehenderit molestias ex blanditiis perferendis. Eius libero aperiam hic labore.
22,Resolución,2023-06-02,Maiores harum repellat possimus. Incidunt excepturi ullam animi non molestiae.
23,Demanda,2022-10-06,Sunt possimus occaecati accusamus. Error perspiciatis quis facere.
24,Prueba,2023-06-24,Nisi harum consectetur. Beatae beatae asperiores eaque.
25,Demanda,2023-02-03,Ratione odio pariatur eveniet perferendis quidem nihil. Esse iusto minima itaque saepe at.
26,Prueba,2024-05-20,Hic officiis non possimus quod. Ea voluptatem culpa excepturi debitis tempora ipsum.
27,Demanda,2023-02-01,At esse amet possimus quasi accusantium. Mollitia aperiam eos maxime quidem eum.
28,Resolución,2022-03-08,Deserunt consectetur reprehenderit soluta. Mollitia beatae tenetur sed eaque atque.
29,Demanda,2022-12-17,Adipisci iure impedit aspernatur odio voluptate.
30,Demanda,2022-10-02,Maxime tempore at voluptate. Pariatur amet quod voluptate quidem.
31,Escrito de defensa,2024-02-18,Ducimus quisquam quisquam nisi. Odio deserunt culpa ducimus odio facere error.
32,Escrito de defensa,2024-07-05,Sit laborum sequi iure facere magni harum fuga.
33,Demanda,2024-06-18,Pariatur necessitatibus nam nemo laudantium suscipit perferendis. Impedit dignissimos praesentium.
34,Resolución,2022-04-19,Asperiores laudantium excepturi. Natus incidunt quas tempore.
35,Resolución,2024-02-04,Doloribus dolorum magnam iste at est amet. Animi laudantium dolorum reprehenderit molestias.
36,Resolución,2024-08-07,Deleniti voluptatibus quasi est in ipsum optio blanditiis. Libero fugit nobis minus.
37,Resolución,2023-04-20,Rerum id tempora occaecati dolor maiores sit. Aliquam non dolores voluptates iusto delectus.
38,Resolución,2022-09-15,Eligendi odit aperiam pariatur animi dolorem.
39,Resolución,2022-08-28,Perspiciatis quas tenetur minima quisquam. Saepe autem officia inventore omnis veritatis dicta.
