ID Caso,Fecha de Facturación,Fecha de Pago,Tarifa por Hora,Deuda Pendiente,Pagos Recibidos
1,2023-01-01,,298.56,19529.42,3161.14
2,2024-02-20,2024-09-22,209.17,0.0,7111.78
3,2023-01-20,,261.24,13814.5,5778.5
4,2023-04-06,,131.56,1234.34,2054.66
5,2023-08-07,,58.09,421.13,682.58
6,2023-04-30,,83.66,1984.55,943.55
7,2022-09-04,,217.42,17155.35,2847.29
8,2021-09-17,2023-03-31,85.39,0.0,6489.64
9,2021-07-29,,227.37,6573.05,930.16
10,2021-08-15,,119.61,4141.1,284.47
11,2023-11-17,2024-01-17,195.07,0.0,975.35
12,2023-11-11,,233.6,17038.74,481.26
13,2023-02-06,,223.32,15798.75,56.97
14,2024-06-05,,213.55,4683.02,7489.33
15,2020-07-13,,224.08,1672.87,3256.89
16,2024-11-18,,64.32,901.87,5144.21
17,2024-08-13,,61.68,1013.72,96.52
18,2021-02-13,,226.03,7826.8,9125.45
19,2023-12-19,,139.69,1112.59,9084.78
20,2023-01-09,,82.81,56.67,6733.75
21,2024-06-26,,232.71,2275.48,16574.03
22,2023-06-07,,151.69,3873.22,3104.52
23,2022-10-06,2022-10-10,132.84,0.0,7571.88
24,2023-03-15,2023-06-13,71.94,0.0,3884.76
25,2021-11-23,2022-11-05,139.16,0.0,10019.52
26,2023-01-17,,198.78,9894.92,640.42
27,2022-07-04,2022-12-26,106.82,0.0,9827.44
28,2022-04-06,,194.33,13747.23,1993.5
29,2022-10-15,,148.49,143.14,1490.25
30,2023-01-07,,219.16,2452.98,2587.7
31,2024-02-21,,224.17,710.75,1755.12
32,2024-06-19,,255.97,7037.81,3200.99
33,2024-07-19,,276.41,1841.1,5345.56
34,2021-10-06,,124.43,1308.83,6405.83
35,2024-03-05,,206.67,2705.16,16928.49
36,2024-09-27,2024-10-22,193.08,0.0,11391.72
37,2023-06-28,,154.16,10729.03,832.97
38,2021-03-02,,213.04,701.26,2920.42
39,2021-07-20,2021-09-07,176.97,0.0,5663.04
40,2023-01-21,,152.2,4821.52,7354.48
41,2022-09-29,,71.75,110.97,1467.53
42,2023-07-29,2023-08-04,162.62,0.0,6179.56
43,2023-03-02,,196.29,11991.59,6655.96
44,2021-07-24,,152.77,7432.88,2497.17
45,2024-09-12,2024-09-18,118.52,0.0,7703.8
46,2021-02-21,2021-08-18,169.4,0.0,16601.2
47,2022-06-20,,233.74,394.95,3812.37
48,2021-03-31,,227.52,1156.39,663.77
49,2024-03-30,2024-04-23,142.43,0.0,6836.64
50,2022-10-24,,127.9,3142.92,949.88
51,2024-12-17,,65.43,1051.02,4903.11
52,2023-04-28,,256.2,6232.92,8114.28
53,2022-06-28,2022-11-03,65.52,0.0,3996.72
54,2022-04-02,2022-06-17,284.64,0.0,18216.96
55,2024-04-30,,219.55,5698.6,229.25
56,2022-07-11,,159.11,1095.78,9246.37
57,2023-02-10,,212.26,14886.71,4641.21
58,2023-04-26,2024-02-21,89.39,0.0,4737.67
59,2023-03-13,2023-06-06,81.48,0.0,1874.04
60,2021-11-21,,183.86,2363.25,8852.21
61,2024-07-31,2024-08-25,295.21,0.0,7675.46
62,2023-04-22,2023-07-27,270.26,0.0,18107.42
63,2023-12-26,2024-02-15,159.99,0.0,14879.07
64,2022-09-26,,112.65,3466.59,4193.61
65,2024-10-11,2024-11-18,85.57,0.0,7102.31
66,2022-10-22,,273.4,7054.03,18098.77
67,2023-11-11,,58.32,854.6,2294.68
68,2023-07-10,2024-09-26,292.35,0.0,22803.3
69,2021-02-25,,240.24,7910.05,1219.07
70,2023-01-15,2024-05-09,194.2,0.0,2913.0
71,2024-03-21,2024-04-22,221.29,0.0,14826.43
72,2023-02-01,,212.22,1048.77,19536.57
73,2023-08-19,,144.83,11549.23,2064.79
74,2022-04-02,2022-05-04,192.66,0.0,963.3
75,2023-09-15,,174.09,10993.79,6241.12
76,2023-04-07,,168.39,3677.75,11814.13
77,2022-08-10,2023-04-21,218.65,0.0,18366.6
78,2023-03-14,,133.44,598.17,3938.79
79,2021-10-22,2025-04-02,219.55,0.0,18222.65
80,2021-08-02,2023-10-08,229.7,0.0,14011.7
81,2022-01-26,,109.59,2116.17,6979.8
82,2023-03-31,,235.89,2911.47,9590.7
83,2022-12-30,,241.71,10641.46,4586.27
84,2024-04-27,,230.9,8047.11,8346.79
85,2023-10-21,2024-07-15,175.83,0.0,4571.58
86,2022-10-31,,194.39,9224.59,2438.81
87,2022-08-16,,275.34,1359.19,3046.25
88,2022-09-09,,223.25,118.27,3007.23
89,2024-07-03,,199.11,4781.48,395.38
90,2022-12-22,2023-01-08,230.8,0.0,6924.0
91,2024-12-24,,264.61,8498.0,1557.18
92,2023-09-07,,171.07,1738.97,11091.28
93,2021-07-25,2021-09-16,93.63,0.0,3370.68
94,2024-05-05,2024-05-28,157.45,0.0,9919.35
95,2022-06-22,,86.01,1387.59,1020.69
96,2024-11-13,2024-12-30,123.3,0.0,5795.1
97,2022-05-21,2023-03-31,297.78,0.0,9528.96
98,2024-01-13,,296.97,18562.17,4898.46
99,2023-12-12,,123.65,7681.52,2457.78
100,2022-09-09,,83.08,384.38,2523.42
101,2023-07-03,,133.82,2384.27,2567.07
102,2021-12-25,,110.32,954.82,258.7
103,2024-08-04,,121.07,974.75,6652.66
104,2023-08-25,,224.63,6854.91,8195.3
105,2022-06-27,,154.05,2100.79,4831.46
106,2023-02-08,2024-02-07,227.16,0.0,9540.72
107,2022-03-01,,263.63,11587.25,12666.71
108,2021-01-24,,60.38,450.55,2266.55
109,2023-01-23,,297.54,2150.45,16297.03
110,2024-03-06,,185.1,10598.13,1063.17
111,2024-10-04,2025-01-14,286.16,0.0,20317.36
112,2021-06-04,2023-07-11,225.61,0.0,10829.28
113,2021-03-09,,230.59,5499.34,34.82
114,2023-05-14,2024-11-29,106.89,0.0,3527.37
115,2024-06-03,2024-07-15,142.07,0.0,5114.52
116,2022-08-17,,163.23,4063.8,10137.21
117,2023-05-07,2023-05-09,182.69,0.0,17355.55
118,2022-04-25,,162.04,780.19,354.09
119,2022-01-06,2022-04-15,135.55,0.0,5693.1
120,2021-07-21,,212.31,7987.32,929.7
121,2024-03-18,2024-03-25,211.23,0.0,7181.82
122,2022-09-07,2023-11-12,217.78,0.0,14809.04
123,2022-09-25,2024-03-13,222.45,0.0,9120.45
124,2023-01-15,,203.74,3826.08,5342.22
125,2023-12-17,2024-01-15,82.19,0.0,7890.24
126,2023-09-16,2023-12-11,177.91,0.0,16545.63
127,2022-12-30,,72.78,3302.73,554.61
128,2022-12-18,,271.9,3661.22,145.38
129,2023-03-21,,164.26,3320.96,1606.84
130,2023-12-20,,145.24,6770.73,5138.95
131,2022-12-19,,141.96,4604.89,2209.19
132,2022-12-31,,160.78,3360.35,3553.19
133,2021-04-07,2021-05-21,234.77,0.0,20894.53
134,2023-05-15,2023-09-12,175.16,0.0,2452.24
135,2022-03-23,2023-01-25,123.85,0.0,5201.7
136,2023-08-31,,146.43,1455.01,10845.11
137,2021-12-06,,220.8,6396.44,1331.56
138,2023-11-21,,269.51,10943.75,106.16
139,2022-10-25,,258.87,768.55,1043.54
140,2022-12-11,,187.92,1079.55,611.73
141,2023-06-11,,56.73,1468.53,2275.65
142,2023-12-19,,52.04,390.13,3512.87
143,2021-08-20,2021-10-24,235.25,0.0,23054.5
144,2024-05-09,,103.58,3588.64,5940.72
145,2022-06-05,,109.8,2038.39,267.41
146,2023-10-16,,71.58,1966.41,4762.11
147,2023-06-10,,186.26,3870.27,9540.45
148,2024-07-30,,88.52,6238.34,1728.46
149,2025-01-03,,240.09,12271.28,8136.37
150,2024-09-15,,223.94,258.27,2652.95
151,2024-04-30,,186.96,13068.02,1327.9
152,2022-09-22,,122.64,1054.16,4587.28
153,2021-01-01,,89.72,2349.99,879.93
154,2021-11-19,,242.49,11192.48,689.53
155,2023-08-09,,144.33,11416.97,3016.03
156,2023-06-26,,217.96,1790.44,825.08
157,2022-07-15,,55.68,1108.22,1620.1
158,2022-11-13,2022-12-22,241.47,0.0,7727.04
159,2025-01-25,2025-02-27,266.66,0.0,3466.58
160,2023-08-21,,57.66,2138.72,1090.24
161,2025-02-15,,233.05,9218.24,8959.66
162,2023-06-12,,85.34,1995.14,2442.54
163,2024-04-29,,273.54,3463.03,12402.29
164,2024-07-11,2024-08-07,157.09,0.0,11624.66
165,2021-05-25,2023-09-09,58.14,0.0,5407.02
166,2022-05-05,,274.65,5303.37,5682.63
167,2023-01-23,2024-08-29,133.23,0.0,3463.98
168,2024-10-03,,249.81,7282.1,5708.02
169,2021-12-09,,279.36,1027.06,7353.74
170,2024-03-16,,237.13,360.71,1299.2
171,2022-07-13,,149.56,3339.39,2044.77
172,2024-04-06,,116.73,748.56,185.28
173,2024-04-01,,246.98,1958.32,17.52
174,2023-09-19,2023-10-11,153.42,0.0,3375.24
175,2021-12-29,2022-03-30,249.97,0.0,16248.05
176,2023-05-05,,268.07,5064.39,3245.78
177,2021-01-29,2021-02-01,114.66,0.0,11007.36
178,2021-09-21,,238.4,1267.37,401.43
179,2021-11-25,2022-05-25,171.75,0.0,13396.5
180,2025-01-31,,288.66,7635.6,3044.82
181,2024-05-02,,224.54,1743.09,9483.91
182,2023-11-11,2024-01-02,153.73,0.0,15373.0
183,2024-01-02,,126.51,3375.43,6618.86
184,2022-11-04,2023-03-30,227.9,0.0,17092.5
185,2024-12-21,2025-01-29,171.6,0.0,2745.6
186,2023-11-14,,189.05,2976.01,426.89
187,2022-06-14,,286.62,15410.51,6659.23
188,2022-09-21,2022-10-19,111.31,0.0,10685.76
189,2023-09-17,,170.85,7231.46,8315.89
190,2024-10-11,,153.64,4393.42,2674.02
191,2022-12-11,,181.17,466.28,11128.6
192,2023-12-10,,114.45,1743.54,4322.31
193,2024-01-25,,110.28,4666.7,3935.14
194,2021-06-08,,242.4,1424.23,15786.17
195,2024-05-02,2024-06-29,218.67,0.0,21429.66
196,2023-06-25,,282.86,6459.49,612.01
197,2024-08-11,2024-09-18,54.88,0.0,4061.12
198,2023-10-23,,126.86,5370.67,6046.73
199,2022-06-29,,97.23,5129.99,4593.01
200,2023-05-10,,226.26,3374.08,10201.52
201,2021-02-20,2021-04-10,223.81,0.0,13428.6
202,2022-09-23,2022-11-24,168.69,0.0,6916.29
203,2024-07-02,,119.04,4726.33,4915.91
204,2021-12-14,,83.09,1872.5,121.66
205,2022-07-03,,136.33,337.11,6752.05
206,2022-09-27,,298.25,2543.7,8789.8
207,2022-12-13,,158.17,6478.86,1113.3
208,2021-09-06,,135.65,8246.43,2062.97
209,2022-01-21,2022-03-02,98.53,0.0,6700.04
210,2022-10-22,,179.91,9904.4,1609.84
211,2020-11-19,,75.5,487.95,2079.05
212,2023-03-08,2023-06-12,101.9,0.0,917.1
213,2022-10-19,2022-10-20,240.42,0.0,22118.64
214,2023-04-24,,178.66,9378.23,3663.95
215,2023-05-03,,104.78,725.97,1055.29
216,2024-02-21,,54.14,1773.12,2991.2
217,2021-04-01,,141.91,3873.36,8898.54
218,2024-01-10,,101.56,866.05,1469.83
219,2023-07-13,,298.01,3474.47,6061.85
220,2022-01-17,,70.08,3560.86,83.3
221,2021-07-25,,155.15,1536.68,6065.67
222,2023-11-30,,132.91,4123.51,3186.54
223,2023-01-03,,192.06,8181.33,9296.13
224,2022-04-24,2022-06-03,232.68,0.0,7911.12
225,2023-07-06,2023-07-19,160.44,0.0,4973.64
226,2021-05-14,,246.97,5926.02,4199.75
227,2024-12-06,,234.58,3694.35,58.93
228,2020-12-30,,144.01,3406.23,9842.69
229,2021-10-23,2022-03-29,226.12,0.0,6331.36
230,2021-10-22,,103.46,771.9,573.08
231,2022-08-22,,292.55,516.49,1531.36
232,2023-12-24,,161.82,1395.02,10903.3
233,2021-03-01,,119.85,65.5,7844.6
234,2023-04-09,2024-08-05,199.87,0.0,13591.16
235,2023-12-02,,242.79,7306.72,14301.59
236,2024-01-22,2024-01-23,173.44,0.0,5550.08
237,2024-12-26,,246.59,15965.26,7707.38
238,2021-10-02,,235.04,13038.89,1298.55
239,2024-01-15,,129.73,2061.72,2089.64
240,2024-05-04,,147.48,1604.31,6507.09
241,2023-09-28,,182.1,9882.91,4867.19
242,2021-06-29,2023-08-04,147.22,0.0,5152.7
243,2023-11-22,,124.91,1181.24,317.68
244,2023-05-21,,70.27,1677.6,219.69
245,2023-01-24,2023-03-23,137.79,0.0,7854.03
246,2022-08-06,,103.71,4686.33,706.59
247,2023-04-30,2023-09-29,91.84,0.0,4408.32
248,2022-02-03,,138.46,8022.47,838.97
249,2022-04-18,,97.42,2043.24,3412.28
250,2024-01-23,,105.65,4847.31,3393.39
251,2023-04-02,,86.9,788.95,1904.95
