ID Caso,Horas Trabajadas,Gastos Administrativos,Otros Recursos,Monto Otros Recursos,Descripción
1,76,174.9,"Copias certificadas, Gastos de digitalización, Notificaciones, Traducción de documentos",988.3499999999999,"Copias certificadas: $67.69, Gastos de digitalización: $262.27, Notificaciones: $372.25, Traducción de documentos: $286.14"
2,34,655.46,"Honorarios de testigos, Gastos de conciliación, Gastos de mensajería, Consultoría externa",655.1,"Honorarios de testigos: $207.02, Gastos de conciliación: $132.75, Gastos de mensajería: $262.37, Consultoría externa: $52.96"
3,75,666.31,"Tasas judiciales, Gastos de mensajería, Gastos de investigación, Traducción de documentos, Desplazamientos",1497.8600000000001,"Tasas judiciales: $356.85, Gastos de mensajería: $122.07, Gastos de investigación: $325.88, Traducción de documentos: $243.45, Desplazamientos: $449.61"
4,25,896.5,"Honorarios de testigos, Gastos de correspondencia, Traducción de documentos",897.41,"Honorarios de testigos: $357.99, Gastos de correspondencia: $58.77, Traducción de documentos: $480.65"
5,19,996.43,"Gastos de conciliación, Gastos de mensajería, Gastos de mediación, Notificaciones, Gastos de correspondencia",1025.56,"Gastos de conciliación: $243.17, Gastos de mensajería: $127.81, Gastos de mediación: $360.54, Notificaciones: $55.79, Gastos de correspondencia: $238.25"
6,35,913.97,"Gastos de mediación, Gastos de investigación",339.29999999999995,"Gastos de mediación: $288.03, Gastos de investigación: $51.27"
7,92,790.77,"Copias certificadas, Tasas judiciales, Honorarios de testigos",1212.81,"Copias certificadas: $413.1, Tasas judiciales: $308.44, Honorarios de testigos: $491.27"
8,76,884.08,Gastos de digitalización,322.77,Gastos de digitalización: $322.77
9,33,328.82,"Gastos de archivo, Desplazamientos, Consultoría externa, Tasas judiciales",1162.69,"Gastos de archivo: $377.1, Desplazamientos: $187.5, Consultoría externa: $161.93, Tasas judiciales: $436.16"
10,37,451.87,Desplazamientos,94.82,Desplazamientos: $94.82
11,5,361.13,Gastos de investigación,295.97,Gastos de investigación: $295.97
12,75,471.59,"Gastos de mediación, Gastos de investigación, Traducción de documentos",766.1600000000001,"Gastos de mediación: $270.41, Gastos de investigación: $184.7, Traducción de documentos: $311.05"
13,71,836.3,"Gastos de mensajería, Traducción de documentos",156.29,"Gastos de mensajería: $103.56, Traducción de documentos: $52.73"
14,57,728.32,"Traducción de documentos, Gastos de mediación, Gastos de digitalización, Copias certificadas",1117.77,"Traducción de documentos: $104.98, Gastos de mediación: $426.41, Gastos de digitalización: $368.76, Copias certificadas: $217.62"
15,22,343.91,"Gastos de correspondencia, Peritaje, Honorarios de testigos, Consultoría externa, Gastos de mediación",1036.68,"Gastos de correspondencia: $136.9, Peritaje: $255.21, Honorarios de testigos: $250.27, Consultoría externa: $186.87, Gastos de mediación: $207.43"
16,94,636.23,"Tasas judiciales, Desplazamientos, Notificaciones",1212.42,"Tasas judiciales: $472.29, Desplazamientos: $385.77, Notificaciones: $354.36"
17,18,516.71,"Gastos de conciliación, Notificaciones, Honorarios de testigos",977.99,"Gastos de conciliación: $193.7, Notificaciones: $358.62, Honorarios de testigos: $425.67"
18,75,917.63,"Peritaje, Copias certificadas, Traducción de documentos, Tasas judiciales",1033.92,"Peritaje: $174.36, Copias certificadas: $314.4, Traducción de documentos: $486.22, Tasas judiciales: $58.94"
19,73,844.14,"Peritaje, Gastos de mediación, Gastos de conciliación, Gastos de archivo, Tasas judiciales",1357.43,"Peritaje: $102.98, Gastos de mediación: $294.61, Gastos de conciliación: $80.33, Gastos de archivo: $449.98, Tasas judiciales: $429.53"
20,82,365.51,"Honorarios de testigos, Gastos de mediación",559.27,"Honorarios de testigos: $197.81, Gastos de mediación: $361.46"
21,81,417.36,Honorarios de testigos,381.4,Honorarios de testigos: $381.4
22,46,374.91,"Gastos de archivo, Gastos de digitalización, Traducción de documentos, Gastos de conciliación, Gastos de investigación",1058.46,"Gastos de archivo: $134.77, Gastos de digitalización: $252.15, Traducción de documentos: $316.59, Gastos de conciliación: $296.71, Gastos de investigación: $58.24"
23,57,714.55,"Tasas judiciales, Gastos de digitalización",557.72,"Tasas judiciales: $162.55, Gastos de digitalización: $395.17"
24,54,902.98,Consultoría externa,306.49,Consultoría externa: $306.49
25,72,738.39,"Tasas judiciales, Peritaje, Gastos de conciliación, Traducción de documentos, Honorarios de testigos",1502.3899999999999,"Tasas judiciales: $346.68, Peritaje: $483.92, Gastos de conciliación: $131.69, Traducción de documentos: $399.46, Honorarios de testigos: $140.64"
